ID,Name,SpType,[Fe/H],e[Fe/H],A(Li),eA(Li),Teff_K,eTeff_K,vsini,Age_Ga,eAge_Ga,M_Msol,eM_Msol,logRHK,elogRHK,Prot_d,R_Rsol,N_planets,sum_Mp,Porb_d,a_au,e,logOD,Pl,Nbr.
CD-23 10879,CD-23 10879  ,Fwl:,-0.25,0.02,0.96,,6110,274,4.5,4.69,2.809,1.075,0.067,,,,1.451,,,,,,,N,
CD-25 112,CD-25 112  ,G5,-0.44,0.05,1.15,,5425,268,,4.475,3.981,0.794,0.03,,,,0.795,,,,,,,N,
CD-25 3416,CD-25 3416  ,G5,-0.54,0.05,0.57,,5441,117,,6.047,4.317,0.783,0.03,,,,0.867,,,,,,,N,
CD-25 8473,CD-25 8473  ,K3V,-0.18,0.06,0.98,,4942,71,,4.532,3.936,0.747,0.024,,,8.84486,0.738,,,,,,,N,
CD-27 6378,CD-27 6378  ,K3.5 V,-0.12,0.07,0.02,,4762,72,,4.181,3.795,0.718,0.022,,,,0.778,,,,,,,N,
CD-28 8692,CD-28 8692  ,K5V,-0.22,0.06,0.69,,4742,127,,4.328,3.969,0.691,0.021,,,,0.767,,,,,,,N,
CD-30 12703,CD-30 12703  ,K0,-0.04,0.1,0.27,,5127,103,,4.642,3.962,0.83,0.029,,,,0.853,,,,,,,N,
CD-36 1303,CD-36 1303  ,K3- V,-0.04,0.07,0.02,,4804,110,,4.471,3.953,0.748,0.023,,,,0.77,,,,,,,N,
CD-43 6810,CD-43 6810  ,G2/3V,-0.44,0.02,0.76,,5932,256,3.85,6.281,4.034,0.937,0.057,,,,1.267,,,,,,,N,
CD-44 9130,CD-44 9130  ,K1,-0.14,0.06,0.28,,5020,111,,4.646,4.008,0.78,0.026,,,,0.814,,,,,,,N,
CD-45 12460,CD-45 12460  ,F8,-0.86,0.05,2.13,0.1,5938,77,1.8,10.985,0.635,0.819,0.014,,,,1.356,,,,,,,N,
CD-46 592,CD-46 592  ,K5.5 V,-0.43,0.07,,,4563,340,,4.473,4.06,0.587,0.015,,,,0.695,,,,,,,N,
CD-53 2307,CD-53 2307  ,G2/3V,-0.53,0.06,0.11,,5356,168,1,4.626,4.04,0.745,0.025,,,,0.798,,,,,,,N,
CD-56 1617,CD-56 1617  ,G2/3V,-0.64,0.05,0.07,,5591,368,2.5,4.274,4.037,0.742,0.026,,,,0.796,,,,,,,N,
CD-57 1633,CD-57 1633  ,F7V,-0.86,0.03,2.23,0.1,6110,136,4.5,6.539,3.796,0.836,0.042,,,,1.008,,,,,,,N,
